Month,Income,Other income,Major Expense,Non-recurring Expense,Regular expense,EMI,Trips Expense,Net Expense,Ideal Saving,Actual Saving,Target,Corpus
Initial Balance,0,0,0,0,0,0,0,0,0,0,0,0
April-2023,1377420,0,705500,10000,25000,0,0,740500,636920,700000,700000,700000
May-2023,203618,0,100000,15000,75000,0,0,115000,88618,0,125000,700000
June-2023,203618,0,100000,0,75000,0,0,175000,28618,0,125000,700000
July-2023,203618,0,0,0,75000,0,0,75000,128618,100000,125000,800000
August-2023,203618,0,0,15000,75000,0,0,90000,113618,100000,125000,900000
September-2023,203618,0,0,0,75000,0,0,75000,128618,100000,125000,1000000
October-2023,203618,0,50000,20000,75000,0,0,145000,58618,50000,125000,1050000
November-2023,203618,0,25000,25000,50000,0,0,100000,103618,100000,125000,1150000
December-2023,203618,0,117421,15000,75000,0,0,207421,-3803,0,125000,1150000
January-2024,203618,0,0,0,75000,0,0,75000,128618,100000,125000,1250000
February-2024,203618,0,150000,20000,50000,0,0,220000,-16382,0,125000,1250000
March-2024,1487588,0,0,34000,65000,0,0,99000,1388588,1350000,1350000,2600000
April-2024,233412,0,0,25000,65000,0,0,90000,143412,150000,150000,2750000
May-2024,233412,0,0,10000,65000,0,0,75000,158412,150000,150000,2900000
June-2024,233412,34000,25000,25000,65000,0,0,115000,152412,150000,150000,3050000
July-2024,233412,173000,0,25000,65000,0,0,90000,316412,325000,150000,3375000
August-2024,233412,0,25000,10000,65000,0,0,100000,133412,125000,150000,3500000
September-2024,233412,0,170000,10000,65000,0,0,245000,-11588,0,150000,3500000
October-2024,233412,0,150000,10000,65000,0,0,225000,8412,0,150000,3500000
November-2024,233412,0,165000,10000,65000,0,0,240000,-6588,0,150000,3500000
December-2024,233412,0,120000,10000,65000,0,0,195000,38412,50000,150000,3550000
January-2025,233412,0,3100000,0,65000,0,0,3165000,-2931588,-3000000,150000,550000
February-2025,233412,266780,0,0,65000,26247,0,91247,408945,-550000,150000,0
March-2025,10200000,0,0,0,65000,34710,0,99710,10100290,10135000,150000,10135000
April-2025,282357,0,0,0,65000,34405,0,99405,182952,150000,150000,10285000
May-2025,282357,0,0,0,65000,34405,100000,199405,82952,250000,150000,10535000
June-2025,282357,0,120000,75000,58000,34405,0,287405,-5048,0,150000,10535000
July-2025,274037,0,80000,0,65000,34405,50000,229405,44632,50000,150000,10585000
August-2025,282357,0,0,0,65000,34405,50000,149405,132952,75000,150000,10660000
September-2025,282357,0,0,0,65000,34405,300000,399405,-117048,0,150000,10660000
October-2025,282357,0,50000,0,65000,34405,0,149405,132952,0,150000,10660000
November-2025,282357,0,200000,0,65000,34405,0,299405,-17048,0,150000,10660000
December-2025,282357,0,1121000,0,65000,34405,0,1220405,-938048,0,150000,10660000
January-2026,282357,0,279125,0,65000,34405,70000,448530,-166173,0,150000,10660000
